peak_year,peak_val,trough_year,trough_val,drop,duration,rebounded,overshoot,recovery_time,max_after,max_after_year,ongoing,code,entity,region
2010,0.425,2013,0.283,0.14200000000000002,3,True,0.14099999999999996,11.0,0.566,2024,False,EGY,Egypt,Africa
1949,0.291,1977,0.155,0.13599999999999998,28,True,0.09100000000000003,17.0,0.382,1994,False,ERI,Eritrea,Africa
1994,0.382,2012,0.153,0.229,18,False,,,0.186,2023,False,ERI,Eritrea,Africa
1935,0.372,1941,0.185,0.187,6,True,0.579,82.0,0.951,2023,False,ESP,Spain,Europe
1932,0.643,1949,0.332,0.311,17,True,0.30499999999999994,69.0,0.948,2018,False,EST,Estonia,Europe
2021,0.779,2024,0.684,0.09499999999999997,3,False,,,0.691,2025,True,ETH,Ethiopia,Africa
1908,0.601,1914,0.566,0.03500000000000003,6,True,0.345,105.0,0.946,2019,False,FIN,Finland,Europe
1924,0.656,1930,0.625,0.031000000000000028,6,True,0.2899999999999999,89.0,0.946,2019,False,FIN,Finland,Europe
1936,0.697,1939,0.662,0.03499999999999992,3,True,0.249,80.0,0.946,2019,False,FIN,Finland,Europe
1955,0.856,1963,0.817,0.039000000000000035,8,True,0.08999999999999997,56.0,0.946,2019,False,FIN,Finland,Europe
1976,0.532,1987,0.493,0.039000000000000035,11,True,0.17499999999999993,29.0,0.707,2016,False,FJI,Fiji,Oceania
1999,0.644,2009,0.491,0.15300000000000002,10,True,0.06299999999999994,7.0,0.707,2016,False,FJI,Fiji,Oceania
2016,0.707,2022,0.621,0.08599999999999997,6,False,,,0.653,2024,True,FJI,Fiji,Oceania
1937,0.519,1941,0.374,0.14500000000000002,4,True,0.42499999999999993,77.0,0.944,2018,False,FRA,France,Europe
1950,0.81,1958,0.774,0.03600000000000003,8,True,0.1339999999999999,60.0,0.944,2018,False,FRA,France,Europe
1990,0.819,1992,0.788,0.030999999999999917,2,True,0.1100000000000001,25.0,0.929,2017,False,GBR,United Kingdom,Europe
2017,0.929,2024,0.855,0.07400000000000007,7,False,,,0.855,2024,True,GBR,United Kingdom,Europe
1923,0.302,1933,0.227,0.07499999999999998,10,True,0.5940000000000001,87.0,0.896,2020,False,GEO,Georgia,Asia
2004,0.792,2009,0.755,0.03700000000000003,5,True,0.10399999999999998,11.0,0.896,2020,False,GEO,Georgia,Asia
2020,0.896,2024,0.828,0.06800000000000006,4,False,,,0.828,2024,True,GEO,Georgia,Asia
1965,0.534,1967,0.431,0.10300000000000004,2,True,0.278,56.0,0.812,2023,False,GHA,Ghana,Africa
1971,0.537,1973,0.416,0.12100000000000005,2,True,0.275,50.0,0.812,2023,False,GHA,Ghana,Africa
1980,0.556,1983,0.455,0.10100000000000003,3,True,0.256,40.0,0.812,2023,False,GHA,Ghana,Africa
1973,0.361,1984,0.232,0.12899999999999998,11,True,0.18900000000000006,39.0,0.55,2023,False,GIN,Guinea,Africa
1993,0.377,1995,0.315,0.062,2,True,0.17300000000000004,28.0,0.55,2023,False,GIN,Guinea,Africa
2007,0.445,2009,0.301,0.14400000000000002,2,True,0.10500000000000004,14.0,0.55,2023,False,GIN,Guinea,Africa
2018,0.516,2021,0.397,0.119,3,True,0.03400000000000003,2.0,0.55,2023,False,GIN,Guinea,Africa
1992,0.515,1994,0.464,0.05099999999999999,2,True,0.29799999999999993,31.0,0.813,2025,False,GMB,Gambia,Africa
2006,0.57,2013,0.539,0.030999999999999917,7,True,0.243,12.0,0.813,2025,False,GMB,Gambia,Africa
1993,0.577,1999,0.538,0.038999999999999924,6,True,0.128,15.0,0.705,2014,False,GNB,Guinea-Bissau,Africa
2016,0.705,2022,0.576,0.129,6,False,,,0.595,2023,True,GNB,Guinea-Bissau,Africa
1968,0.172,1971,0.107,0.06499999999999999,3,True,0.32,52.0,0.492,2023,False,GNQ,Equatorial Guinea,Africa
1992,0.385,1999,0.349,0.03600000000000003,7,True,0.10699999999999998,24.0,0.492,2023,False,GNQ,Equatorial Guinea,Africa
2014,0.467,2021,0.429,0.038000000000000034,7,True,0.024999999999999967,2.0,0.492,2023,False,GNQ,Equatorial Guinea,Africa
1935,0.327,1944,0.275,0.05199999999999999,9,True,0.599,73.0,0.926,2017,False,GRC,Greece,Europe
1965,0.552,1967,0.438,0.11400000000000005,2,True,0.374,50.0,0.926,2017,False,GRC,Greece,Europe
1824,0.117,1900,0.036,0.08100000000000002,76,True,0.607,123.0,0.724,2023,False,GTM,Guatemala,North America
1953,0.24,1966,0.13,0.10999999999999999,13,True,0.484,57.0,0.724,2023,False,GTM,Guatemala,North America
1976,0.156,1982,0.117,0.03899999999999999,6,True,0.568,41.0,0.724,2023,False,GTM,Guatemala,North America
1991,0.802,1993,0.716,0.08600000000000008,2,True,0.07299999999999995,23.0,0.875,2016,False,GUY,Guyana,South America
2016,0.875,2024,0.818,0.05700000000000005,8,False,,,0.818,2024,True,GUY,Guyana,South America
1990,0.913,2023,0.796,0.11699999999999999,33,False,,,0.801,2025,True,HKG,Hong Kong,Asia
1962,0.361,1970,0.267,0.09399999999999997,8,True,0.43900000000000006,54.0,0.8,2024,False,HND,Honduras,North America
2014,0.731,2019,0.691,0.040000000000000036,5,True,0.06900000000000006,5.0,0.8,2024,False,HND,Honduras,North America
