code,entity,n_years,year_start,year_end,S_floor,S_ceil,k,t_mid,v,R2
MWI,Malawi,74,1950,2023,-0.909964035573642,-0.2235098740197409,0.4983616629007054,1999.319887222593,8.675392491927976,0.9778412839782176
MYS,Malaysia,74,1950,2023,-0.5553938025113982,-0.192327770876836,0.0278592449767511,1977.8737376549063,0.005,0.8717117423716196
NAM,Namibia,74,1950,2023,-0.8966078781253589,-0.2007832141421327,0.5108157486952655,1989.2344590335708,0.005,0.9889490454759244
NER,Niger,74,1950,2023,-0.7998672686691294,-0.2620187977207246,0.1583451311406761,1993.2272191740096,2.493218685407766,0.974139942453266
NGA,Nigeria,55,1966,2023,-0.7393417675548754,-0.2832397160159348,0.4211011302677638,1997.8027109684856,13.707470207846065,0.9848550678076324
NIC,Nicaragua,74,1950,2023,-0.8623030256909558,-0.3245342305371239,0.5624480760461099,1984.8191907374933,4.829234170908356,0.9691000130416072
NLD,Netherlands,74,1950,2023,-0.7299649252593099,-0.0878194128281194,0.215832648060681,1972.402818115147,8.268887928904052,0.9847825582485304
NOR,Norway,74,1950,2023,-0.819947743154755,-0.0536358153944889,0.1963850427781512,1965.7252523150469,17.04177382336948,0.9652361426032132
NPL,Nepal,74,1950,2023,-0.9971818138732584,-0.2319550313528366,0.432891588046516,2005.9809905374411,13.568380083066076,0.9799369288958272
NZL,New Zealand,74,1950,2023,-0.4084433247872993,-0.0639655097329672,0.3159119638888491,1986.51512735772,10.40511177439865,0.995121390445886
OMN,Oman,62,1950,2023,-0.9266473370806154,-0.6473966337625604,0.1201783331451838,1971.5258040970184,0.005,0.9753209727990284
OWID_AFR,Africa,0,0,0,-0.8532244948197768,-0.2581699629098131,0.0542357516026176,1982.0201729824569,0.488333288823801,0.9944791173476012
OWID_ASI,Asia,0,0,0,-0.962686788172932,-0.3974485114659479,0.2861134410293713,1996.8265371172963,20.0,0.9886160235797484
OWID_DRV,Democratic Republic of Vietnam,0,0,0,-0.4185282728788684,-0.5337258539109002,0.7488021872898631,1949.74378317334,1.1913901171393264,0.5316920997758232
OWID_EUR,Europe,0,0,0,-0.8714408727393872,-2.1668580743103496e-17,0.035517501797237,1961.216782268925,1.5909508716521108,0.9823086096971873
OWID_GDR,East Germany,0,0,0,-0.5681200327639246,-7.74304217840074e-07,0.290457932158906,2023.139518007968,14.730715597936667,0.4902969322831828
OWID_GFR,West Germany,0,0,0,-0.3115251134468028,-0.0925414041789078,0.1399998230226984,1972.318633752118,0.5803383066332543,0.9480268396943978
OWID_NAM,North America,0,0,0,-0.8283898335978486,-0.2200484872201556,0.2188851117378547,1989.8396714389417,8.82895400085921,0.9932890458046568
OWID_OCE,Oceania,0,0,0,-0.6381084364294958,-0.3104814161207533,0.105260086500034,1976.2496722327328,1.4752384501606015,0.9875813108489072
OWID_PMA,Parma,0,0,0,-0.840001330760409,-0.7523043477095356,1.9879834094348845,1806.036348499772,0.9430605182855468,0.4468588776789457
OWID_RVN,Republic of Vietnam,0,0,0,-0.6982812861455623,-0.6151700851039282,0.2605783810365388,1953.2681553091688,0.0050000014870403,0.4447949142602152
OWID_SAM,South America,0,0,0,-0.8863092341999097,-0.1684896796764021,0.1942894134344117,1996.674269789947,10.48079303417062,0.97878659769648
OWID_SML,Somaliland,0,0,0,-0.7918880882958335,-0.5358931048308807,0.6102853461949633,1978.975607112936,5.232995024792696,0.962117998743892
OWID_TUS,Tuscany,0,0,0,-0.7071232014493736,-0.803093357367569,0.331161956753264,1799.3926225641192,0.005,0.8730999156947079
OWID_WRL,World,0,0,0,-0.9298312272682088,-0.2796074783091959,0.2540853920176097,1994.7039073058777,14.848880534093356,0.9937553238564996
OWID_YAR,Yemen Arab Republic,0,0,0,-0.9693359543764384,-0.8666016645535506,0.1247117922600872,1960.2158833192389,0.0050000000000781,0.9023993335791366
OWID_YPR,Yemen People's Republic,0,0,0,-0.6864907529154789,-0.4855015767146792,0.1178356851005131,1970.2482404656107,1.156131800501481,0.952198563207743
OWID_ZAN,Zanzibar,0,0,0,-0.9965524888999734,-0.2963229831975625,0.2635364675457715,1991.2621431382177,13.581885653517883,0.9942986118515384
PAK,Pakistan,60,1958,2023,-0.7838237536651836,-0.4192490082852739,0.3480420933079441,2001.872355848456,6.9890822669566175,0.9233846816584056
PAN,Panama,74,1950,2023,-0.582554640384264,-0.2424923234589994,2.0,1989.380068873424,0.0050000000446885,0.9492271084306888
PER,Peru,74,1950,2023,-0.866959642882711,-0.2027827426232763,0.4240752382207283,2001.1943262302184,19.9999999985248,0.9496798332950848
PHL,Philippines,74,1950,2023,-0.8848246133010058,-0.173980735889864,0.3031312427010016,1990.644215067356,20.0,0.8914598242800937
PNG,Papua New Guinea,74,1950,2023,-0.8522285879115039,-0.5470858119882839,2.0,1974.3155550257488,0.0050000000051306,0.9890764761238848
